parameter,value,run,fitness
population_size,200.0,0,756690.8759999999
population_size,200.0,1,812360.232
population_size,200.0,2,676613.115
population_size,200.0,3,654478.7849999999
population_size,200.0,4,757418.5799999998
population_size,300.0,0,617608.4489999999
population_size,300.0,1,667547.1359999999
population_size,300.0,2,697959.0989999999
population_size,300.0,3,704023.2989999999
population_size,300.0,4,825762.1140000001
population_size,400.0,0,685618.452
population_size,400.0,1,824882.8049999999
population_size,400.0,2,545141.2590000001
population_size,400.0,3,604782.666
population_size,400.0,4,691288.479
population_size,500.0,0,813451.788
population_size,500.0,1,828794.2139999999
population_size,500.0,2,696230.8019999999
population_size,500.0,3,617608.449
population_size,500.0,4,534953.4029999999
mutation_rate,0.1,0,802536.2279999999
mutation_rate,0.1,1,1036856.916
mutation_rate,0.1,2,793773.4589999999
mutation_rate,0.1,3,644897.3489999999
mutation_rate,0.1,4,701658.2609999999
mutation_rate,0.2,0,745532.7480000001
mutation_rate,0.2,1,667456.173
mutation_rate,0.2,2,800019.585
mutation_rate,0.2,3,681312.8699999999
mutation_rate,0.2,4,791044.569
mutation_rate,0.3,0,912844.0260000001
mutation_rate,0.3,1,592472.34
mutation_rate,0.3,2,784828.764
mutation_rate,0.3,3,770668.8569999998
mutation_rate,0.3,4,828733.5719999999
crossover_rate,0.7,0,515517.64199999993
crossover_rate,0.7,1,930975.9839999999
crossover_rate,0.7,2,777612.3659999999
crossover_rate,0.7,3,831068.289
crossover_rate,0.7,4,833554.6109999999
crossover_rate,0.8,0,862753.7339999999
crossover_rate,0.8,1,642956.8049999999
crossover_rate,0.8,2,829430.9549999998
crossover_rate,0.8,3,670579.236
crossover_rate,0.8,4,894742.389
crossover_rate,0.9,0,670639.8779999999
crossover_rate,0.9,1,810146.7989999999
crossover_rate,0.9,2,798746.1029999999
crossover_rate,0.9,3,684769.4639999999
crossover_rate,0.9,4,770608.215
elitism_rate,0.05,0,647504.9549999998
elitism_rate,0.05,1,719911.503
elitism_rate,0.05,2,759722.976
elitism_rate,0.05,3,733313.385
elitism_rate,0.05,4,668487.087
elitism_rate,0.1,0,1001441.9879999999
elitism_rate,0.1,1,589895.0549999999
elitism_rate,0.1,2,737346.078
elitism_rate,0.1,3,716636.835
elitism_rate,0.1,4,848199.6539999999
elitism_rate,0.2,0,907325.604
elitism_rate,0.2,1,574825.5179999999
elitism_rate,0.2,2,747776.5019999999
elitism_rate,0.2,3,765089.7929999998
elitism_rate,0.2,4,867787.02
